country_name,year,life_ladder,log_gdp_per_capita,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Afghanistan,2023,1.445908546447754,NA,0.36847811937332153,55.20000076293945,0.22830119729042053,NA,0.7384709119796753,0.2605132460594177,0.460166871547699
Albania,2023,5.444690704345703,9.688706398010254,0.6907526254653931,69.19999694824219,0.8715454936027527,0.06788530200719833,0.8554250597953796,0.5973492860794067,0.3142271339893341
Argentina,2023,6.393228530883789,9.993596076965332,0.8921175003051758,67.30000305175781,0.8316837549209595,-0.12906090915203094,0.8460935354232788,0.720122218132019,0.3011621832847595
Armenia,2023,5.6790900230407715,9.729613304138184,0.819337785243988,68.19999694824219,0.8193762898445129,-0.1794440746307373,0.6807089447975159,0.5747167468070984,0.42263054847717285
Australia,2023,7.024582386016846,10.846433639526367,0.8964600563049316,71.19999694824219,0.875768780708313,0.18730904161930084,0.4815804660320282,0.7310531139373779,0.24816282093524933
Austria,2023,6.635663986206055,10.930412292480469,0.874427318572998,71.4000015258789,0.874083399772644,0.20926827192306519,0.5294297337532043,0.7124965786933899,0.23960807919502258
Azerbaijan,2023,5.213894844055176,9.636955261230469,0.7134778499603271,64.0999984741211,0.8286861777305603,-0.16017013788223267,0.6266407370567322,0.5090611577033997,0.22131836414337158
Bahrain,2023,5.959068298339844,10.87685775756836,0.8174772262573242,65.5999984741211,0.8685608506202698,0.15463505685329437,NA,0.6705686450004578,0.33594000339508057
Bangladesh,2023,4.113548755645752,8.782783508300781,0.44980207085609436,64.80000305175781,0.9192094206809998,0.018997488543391228,0.755618155002594,0.4353271722793579,0.43458181619644165
Belgium,2023,6.943598747253418,10.883184432983398,0.8959550261497498,71.19999694824219,0.8702002167701721,0.06494025141000748,0.5215713381767273,0.7252440452575684,0.24549579620361328
Benin,2023,4.419834136962891,8.17391300201416,0.3981879949569702,56.70000076293945,0.7856008410453796,-0.07259462028741837,0.5753048062324524,0.5730234384536743,0.4280768930912018
Bolivia,2023,5.859886169433594,9.024975776672363,0.786039412021637,63.900001525878906,0.831521213054657,-0.05852082371711731,0.8765882849693298,0.7533968091011047,0.40111398696899414
Bosnia and Herzegovina,2023,6.008581161499023,9.759161949157715,0.8787869215011597,67.4000015258789,0.8472372889518738,0.2408037930727005,0.9476993680000305,0.5785500407218933,0.24872227013111115
Botswana,2023,3.3316478729248047,9.673301696777344,0.7013584971427917,55,0.7412241101264954,-0.26417362689971924,0.8139355778694153,0.6565471887588501,0.24749012291431427
Brazil,2023,6.5526909828186035,9.634684562683105,0.8564527034759521,66.0999984741211,0.8696613311767578,-0.03603530302643776,0.7328492403030396,0.6941930651664734,0.3128325641155243
Bulgaria,2023,5.589599132537842,10.27278995513916,0.9349161982536316,66.69999694824219,0.7543242573738098,-0.1312975287437439,0.9478561878204346,0.539438784122467,0.19188416004180908
Burkina Faso,2023,4.462207794189453,7.692993640899658,0.5803030729293823,56.400001525878906,0.715367317199707,0.10491159558296204,0.6496926546096802,0.639460027217865,0.34647202491760254
Cambodia,2023,4.2213454246521,8.461865425109863,0.7376133799552917,62.29999923706055,0.9606927633285522,0.06995958089828491,0.799151599407196,0.6833860278129578,0.3943013846874237
Cameroon,2023,4.945847034454346,8.237628936767578,0.7158735394477844,57.20000076293945,0.7391365766525269,-0.027583390474319458,0.855074942111969,0.5883089900016785,0.35563018918037415
